age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
22,Private,191265,10,Non-Married,Other,Non-Husband,White,Male,0,0,30,US,0
51,Private,138847,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
35,Non-Private,126569,9,Married,Other,Husband,White,Male,7298,0,40,US,1
45,Non-Private,201127,10,Married,Managerial-Specialist,Husband,White,Male,0,0,56,US,1
27,Private,132805,6,Non-Married,Other,Non-Husband,White,Male,0,1980,40,US,0
25,Private,114345,5,Non-Married,Other,Non-Husband,White,Male,914,0,40,US,0
25,Private,199947,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
60,Non-Private,38622,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
32,Private,232766,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
68,Private,178066,5,Married,Other,Husband,White,Male,1797,0,24,US,0
33,Private,190511,4,Non-Married,Other,Non-Husband,White,Male,2176,0,35,US,0
57,Private,361324,6,Married,Other,Husband,White,Male,0,0,40,US,0
22,Private,207782,12,Non-Married,Other,Non-Husband,White,Male,0,0,20,US,0
35,Private,243409,10,Married,Other,Husband,White,Male,0,0,40,Non-US,0
68,Non-Private,52052,11,Non-Married,Other,Non-Husband,White,Female,25124,0,50,US,1
80,Non-Private,562336,9,Married,Other,Husband,White,Male,0,0,20,US,0
38,Private,34378,9,Married,Other,Husband,White,Male,0,0,55,US,0
39,Private,108140,9,Married,Other,Husband,White,Male,0,0,40,US,0
31,Non-Private,158092,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
38,Private,49115,9,Married,Other,Husband,White,Male,0,0,55,US,0
44,Non-Private,236321,9,Non-Married,Other,Non-Husband,White,Male,0,0,25,US,0
52,Private,145166,13,Married,Managerial-Specialist,Husband,White,Male,15024,0,55,US,1
18,Private,183930,9,Non-Married,Other,Non-Husband,White,Male,0,0,12,US,0
80,Non-Private,120796,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
31,Private,323069,12,Non-Married,Other,Non-Husband,White,Female,0,880,45,US,0
51,Non-Private,61127,9,Married,Other,Husband,White,Male,0,0,50,US,1
42,Private,259643,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,4650,0,40,US,0
32,Non-Private,566117,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
63,Private,237379,6,Married,Other,Husband,White,Male,0,0,40,US,0
17,Private,146329,8,Non-Married,Other,Non-Husband,White,Female,0,0,23,US,0
43,Non-Private,216070,14,Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,50,US,1
32,Private,370160,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
24,Private,374763,7,Non-Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
24,Private,259351,10,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,Non-US,0
25,Private,224943,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,US,0
41,Non-Private,341638,12,Married,Other,Husband,White,Male,0,0,92,US,0
64,Private,75577,4,Married,Managerial-Specialist,Husband,White,Male,2580,0,50,US,0
37,Non-Private,105803,14,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
44,Non-Private,203761,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
27,Private,210498,9,Married,Other,Husband,White,Male,5178,0,40,US,1
64,Non-Private,182158,15,Married,Managerial-Specialist,Husband,White,Male,99999,0,60,US,1
68,Private,161744,6,Married,Other,Husband,White,Male,0,0,16,US,0
37,Private,241962,7,Married,Other,Husband,White,Male,0,0,50,US,0
47,Non-Private,53498,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
37,Private,175759,13,Married,Other,Husband,White,Male,0,0,40,US,1
42,Private,68469,9,Married,Other,Husband,White,Male,0,0,40,US,0
53,Private,224894,3,Married,Other,Non-Husband,Non-White,Female,0,0,10,Non-US,0
40,Private,132222,14,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
22,Private,223515,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,20,US,0
42,Private,52849,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
32,Private,96016,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
69,Private,172354,11,Non-Married,Managerial-Specialist,Non-Husband,White,Female,1848,0,50,US,0
36,Non-Private,37778,14,Married,Other,Husband,White,Male,0,0,70,US,0
27,Non-Private,113870,14,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
54,Private,326156,10,Married,Other,Husband,White,Male,0,0,40,US,1
31,Private,131568,5,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
44,Private,116632,13,Married,Managerial-Specialist,Husband,White,Male,0,0,35,US,1
62,Private,211408,11,Married,Other,Husband,White,Male,0,0,40,US,1
52,Private,343440,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
24,Private,43387,13,Married,Managerial-Specialist,Husband,White,Male,0,0,55,Non-US,1
41,Non-Private,263871,10,Married,Other,Husband,White,Male,0,0,55,US,0
19,Private,170720,9,Non-Married,Other,Non-Husband,White,Male,0,0,20,US,0
30,Private,59496,10,Married,Other,Husband,White,Male,0,0,40,US,0
62,Non-Private,125155,9,Married,Managerial-Specialist,Husband,White,Male,0,0,38,US,0
38,Private,51838,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
51,Private,251487,4,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
37,Private,112158,9,Married,Other,Husband,White,Male,7688,0,99,US,1
51,Private,76044,14,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,4787,0,35,Non-US,1
44,Private,86298,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
41,Private,694105,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
45,Non-Private,187715,9,Married,Other,Husband,White,Male,0,0,40,US,1
33,Private,194141,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
22,Private,71469,12,Non-Married,Other,Non-Husband,White,Female,0,0,25,US,0
47,Private,347025,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
59,Non-Private,173422,4,Married,Other,Husband,White,Male,5013,0,38,US,0
48,Non-Private,81154,11,Non-Married,Other,Non-Husband,White,Male,0,0,48,US,0
59,Non-Private,223215,13,Married,Managerial-Specialist,Husband,White,Male,0,1977,50,US,1
58,Private,365511,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,Non-US,0
24,Private,62952,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
42,Private,230355,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,Non-US,0
25,Private,264012,13,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
29,Non-Private,119848,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
35,Non-Private,37314,11,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
31,Private,382583,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,US,0
22,Private,406978,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
72,Non-Private,112658,9,Married,Other,Husband,White,Male,2653,0,42,US,0
62,Private,116289,13,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,0
48,Private,232145,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
62,Private,162245,15,Married,Managerial-Specialist,Husband,White,Male,0,1628,70,US,0
32,Non-Private,206609,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
43,Non-Private,198766,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
22,Private,208893,10,Non-Married,Other,Non-Husband,White,Male,0,0,10,US,0
27,Private,107236,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,US,0
60,Private,532845,2,Married,Other,Husband,White,Male,0,0,40,Non-US,1
25,Private,149486,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,US,0
21,Private,50411,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
33,Non-Private,374905,6,Married,Other,Husband,White,Male,0,0,40,US,0
25,Private,182227,9,Married,Other,Husband,White,Male,0,1579,40,US,0
27,Private,29261,12,Non-Married,Other,Non-Husband,White,Male,0,0,42,US,0
37,Private,241153,13,Married,Managerial-Specialist,Husband,White,Male,15024,0,50,US,1
33,Private,598802,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
28,Private,132750,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,20,US,0
20,Private,191910,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
36,Non-Private,138940,9,Married,Other,Husband,White,Male,0,0,70,US,0
18,Private,109702,10,Non-Married,Other,Non-Husband,White,Female,0,0,30,US,0
41,Non-Private,169023,13,Married,Managerial-Specialist,Non-Husband,White,Female,7688,0,40,US,1
63,Non-Private,174181,13,Married,Managerial-Specialist,Husband,White,Male,0,0,20,US,0
37,Private,224512,11,Married,Other,Husband,White,Male,0,0,45,US,0
34,Non-Private,148508,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
72,Private,116640,10,Married,Managerial-Specialist,Husband,White,Male,3471,0,20,US,0
17,Private,114798,6,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
26,Private,114483,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
47,Non-Private,267879,9,Married,Other,Husband,Non-White,Male,3103,0,50,US,1
47,Private,100009,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,30,US,0
31,Private,145924,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
20,Private,73266,10,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
32,Private,195891,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,55,US,0
29,Private,134152,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
34,Private,240979,9,Non-Married,Other,Non-Husband,White,Male,0,0,80,US,0
50,Non-Private,36489,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
42,Private,109067,13,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
41,Private,173307,9,Married,Other,Husband,White,Male,0,0,43,US,0
27,Private,182843,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
56,Non-Private,212864,9,Married,Other,Husband,White,Male,0,0,40,US,1
62,Private,195343,16,Non-Married,Managerial-Specialist,Non-Husband,White,Male,15020,0,50,US,1
27,Non-Private,191202,9,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,0
25,Private,241825,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,46,US,0
24,Private,165107,11,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
25,Non-Private,66692,13,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
39,Private,122032,11,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
32,Private,166634,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
33,Private,245777,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
18,Private,91525,9,Non-Married,Other,Non-Husband,White,Male,0,0,25,US,0
39,Private,531055,9,Married,Other,Husband,White,Male,0,0,40,US,1
19,Private,348867,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,15,US,0
44,Non-Private,60087,9,Married,Other,Husband,White,Male,0,0,45,US,1
38,Non-Private,338611,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
32,Private,198813,15,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,0
51,Non-Private,28765,15,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,1
39,Non-Private,55568,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
34,Private,127875,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,0
44,Private,157217,12,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
23,Private,216472,10,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
25,Private,264300,11,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,36,US,0
39,Private,57691,9,Married,Other,Husband,White,Male,7298,0,40,US,1
43,Non-Private,210013,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,US,1
36,Non-Private,248263,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
61,Non-Private,28291,13,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
55,Private,49737,10,Married,Other,Husband,White,Male,0,0,50,US,0
21,Private,321369,6,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
20,Private,435469,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,Non-US,0
36,Private,167482,10,Married,Other,Husband,White,Male,0,0,40,US,1
31,Non-Private,180656,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,35,US,0
63,Private,118798,9,Married,Other,Husband,White,Male,99999,0,40,US,1
33,Private,154950,13,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
51,Non-Private,100029,16,Married,Managerial-Specialist,Husband,White,Male,15024,0,40,US,1
17,Private,194612,7,Non-Married,Other,Non-Husband,White,Male,0,0,25,US,0
50,Private,243115,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
56,Private,182460,9,Married,Other,Husband,White,Male,0,0,40,US,1
65,Non-Private,215908,9,Married,Managerial-Specialist,Husband,White,Male,0,2174,40,US,1
53,Private,139157,3,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
21,Private,249271,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
20,Non-Private,138371,10,Non-Married,Other,Non-Husband,White,Male,0,0,32,US,0
38,Non-Private,192939,9,Married,Other,Husband,White,Male,0,0,50,US,0
26,Private,37650,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,5060,0,40,US,0
54,Non-Private,159219,15,Married,Managerial-Specialist,Husband,White,Male,99999,0,40,US,1
31,Non-Private,263000,11,Married,Other,Husband,White,Male,0,0,38,US,0
45,Private,84790,13,Married,Managerial-Specialist,Husband,White,Male,0,0,55,US,1
43,Private,54611,9,Non-Married,Other,Non-Husband,White,Male,0,0,60,US,0
29,Private,184078,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
54,Private,162745,9,Married,Other,Husband,White,Male,0,0,55,US,1
44,Private,215468,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,7,US,0
22,Private,114357,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,55,US,0
35,Non-Private,238802,9,Married,Other,Husband,White,Male,0,0,50,US,0
50,Private,126566,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
43,Private,361280,6,Married,Other,Husband,Non-White,Male,0,0,42,Non-US,0
51,Non-Private,248327,13,Married,Other,Husband,Non-White,Male,0,0,40,US,1
61,Private,96660,10,Married,Managerial-Specialist,Non-Husband,White,Female,15024,0,34,US,1
35,Private,207066,13,Non-Married,Other,Non-Husband,White,Male,10520,0,45,US,1
63,Private,198206,10,Non-Married,Other,Non-Husband,White,Female,0,0,30,US,0
30,Private,195488,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,Non-US,0
60,Private,169408,13,Married,Managerial-Specialist,Husband,White,Male,7298,0,40,US,1
38,Private,245090,9,Married,Other,Husband,White,Male,0,0,40,Non-US,0
34,Non-Private,101517,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
29,Non-Private,179008,12,Married,Other,Husband,White,Male,0,0,50,US,0
35,Private,301862,9,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
30,Private,111363,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
66,Private,142501,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,3,US,0
58,Private,95428,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
29,Private,190777,13,Married,Other,Husband,White,Male,0,0,55,US,0
32,Private,237478,7,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
33,Private,183778,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
68,Private,224019,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,30,US,0
30,Private,200700,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
30,Private,329425,10,Non-Married,Other,Non-Husband,White,Male,0,0,48,US,0
24,Private,238917,3,Non-Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
46,Private,175262,12,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,Non-US,0
27,Private,90692,11,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,Non-US,0
36,Private,132879,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,45,US,0
43,Non-Private,133060,9,Married,Other,Husband,White,Male,0,0,40,US,0
52,Private,177647,9,Non-Married,Other,Non-Husband,White,Male,0,0,47,US,0
27,Private,200610,9,Married,Managerial-Specialist,Husband,White,Male,2580,0,40,US,0
38,Private,199816,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
19,Private,198668,4,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
27,Private,61580,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
31,Private,113364,9,Married,Other,Husband,White,Male,0,0,40,US,1
44,Private,211351,10,Married,Other,Non-Husband,White,Female,4386,0,40,US,1
61,Non-Private,315977,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
47,Private,121124,5,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
40,Private,262872,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
28,Private,109494,10,Married,Managerial-Specialist,Husband,White,Male,0,1485,40,US,0
18,Private,128086,8,Non-Married,Other,Non-Husband,White,Male,0,0,18,US,0
64,Non-Private,198466,9,Non-Married,Other,Non-Husband,White,Female,0,0,70,US,0
69,Non-Private,215926,4,Married,Other,Husband,White,Male,0,0,35,US,0
22,Private,236907,10,Non-Married,Other,Non-Husband,White,Male,0,0,20,US,0
25,Private,155320,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,45,US,0
42,Private,211860,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
49,Non-Private,213354,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,70,US,1
37,Private,238311,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,36,US,1
50,Private,195784,8,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
36,Private,297449,13,Married,Other,Husband,White,Male,0,0,50,US,1
43,Private,311534,10,Married,Other,Husband,White,Male,0,0,44,US,1
60,Private,291904,6,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
18,Private,234428,7,Non-Married,Other,Non-Husband,White,Male,0,0,20,US,0
74,Non-Private,173929,16,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,25,US,1
20,Private,653574,10,Non-Married,Other,Non-Husband,White,Male,0,0,33,Non-US,0
27,Private,165412,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,20,US,0
40,Private,158958,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,Non-US,0
55,Private,497039,10,Non-Married,Other,Non-Husband,Non-White,Female,0,0,56,US,0
53,Private,190319,13,Married,Other,Husband,Non-White,Male,0,1485,40,Non-US,1
40,Non-Private,142444,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,45,US,0
61,Private,160431,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
43,Non-Private,336763,10,Non-Married,Other,Non-Husband,White,Female,0,880,42,US,0
24,Private,131230,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
52,Private,235567,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
31,Private,306459,2,Non-Married,Other,Non-Husband,White,Male,0,0,35,Non-US,0
33,Private,92462,12,Non-Married,Other,Non-Husband,Non-White,Male,0,0,32,US,0
35,Private,187167,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,0
55,Private,104996,4,Married,Other,Husband,White,Male,0,0,10,US,0
29,Non-Private,160731,14,Married,Other,Husband,White,Male,0,0,50,Non-US,0
22,Private,89154,2,Non-Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
35,Private,267891,9,Married,Other,Non-Husband,White,Female,0,0,38,US,0
36,Private,161547,13,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
66,Private,340734,9,Married,Other,Husband,White,Male,0,0,40,US,0
56,Non-Private,172618,13,Married,Managerial-Specialist,Husband,White,Male,7688,0,40,US,1
24,Private,228649,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
28,Private,203776,9,Married,Other,Husband,White,Male,0,0,45,Non-US,0
25,Private,91709,12,Non-Married,Other,Non-Husband,White,Female,0,0,45,US,0
33,Non-Private,102884,13,Married,Other,Non-Husband,White,Male,0,0,20,US,0
50,Non-Private,65160,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
41,Private,123403,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
50,Non-Private,254148,10,Married,Other,Husband,White,Male,0,0,40,Non-US,0
30,Non-Private,181091,13,Married,Other,Husband,White,Male,0,0,40,US,0
45,Non-Private,117605,9,Married,Managerial-Specialist,Husband,White,Male,0,0,48,US,1
18,Private,234953,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,25,US,0
39,Private,43712,9,Married,Managerial-Specialist,Husband,White,Male,7298,0,40,US,1
29,Private,245226,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
47,Non-Private,198660,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
30,Private,209432,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
32,Non-Private,182177,9,Married,Other,Husband,White,Male,0,0,40,US,0
44,Private,193494,10,Married,Other,Husband,White,Male,0,0,72,US,1
27,Private,207611,9,Non-Married,Other,Non-Husband,White,Female,0,0,52,US,0
44,Private,172475,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,Non-US,0
27,Private,198188,9,Married,Managerial-Specialist,Husband,White,Male,2580,0,45,US,0
37,Private,198216,12,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
28,Private,249362,7,Married,Other,Husband,White,Male,0,0,50,US,0
24,Private,200819,8,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
41,Private,215219,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
50,Private,98228,9,Non-Married,Other,Non-Husband,White,Female,0,0,45,US,0
24,Private,556660,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,4101,0,50,US,0
17,Private,209650,8,Non-Married,Other,Non-Husband,White,Male,0,0,16,US,0
46,Non-Private,349230,11,Married,Other,Husband,White,Male,0,1848,40,US,1
25,Private,60726,9,Married,Other,Husband,Non-White,Male,0,0,30,US,0
26,Private,233777,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
45,Private,216414,14,Married,Other,Husband,White,Male,0,0,50,US,1
56,Private,204816,9,Married,Other,Husband,White,Male,0,0,55,US,1
31,Private,54318,13,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
28,Private,192591,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,45,US,0
51,Private,193720,13,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
19,Private,244115,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,30,US,0
23,Private,265077,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,1055,0,10,US,0
26,Private,212748,9,Married,Other,Husband,White,Male,0,0,40,US,0
54,Private,64421,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
20,Private,210781,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,0
62,Private,96460,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
40,Non-Private,24763,10,Non-Married,Other,Non-Husband,White,Male,6849,0,40,US,0
46,Private,165953,13,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
23,Private,197286,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
29,Private,50028,10,Married,Other,Husband,White,Male,0,0,40,US,0
19,Private,217418,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,38,US,0
44,Non-Private,59460,9,Married,Other,Non-Husband,White,Female,0,0,15,US,0
38,Private,107302,10,Married,Other,Husband,White,Male,0,0,60,US,1
47,Private,304133,10,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,0
61,Non-Private,160155,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
29,Private,94892,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
60,Private,26756,9,Non-Married,Other,Non-Husband,White,Female,0,0,50,US,0
41,Private,287581,13,Married,Managerial-Specialist,Husband,White,Male,7688,0,45,US,1
56,Non-Private,130454,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
49,Private,147032,9,Married,Other,Non-Husband,Non-White,Female,0,0,8,Non-US,0
26,Non-Private,179633,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
45,Private,325390,9,Married,Other,Husband,White,Male,0,0,40,US,0
