age,two_year_recid,c_charge_degree,race,sex,priors_count,length_of_stay,score
42,0,F,Other,Male,3,0,1
38,1,F,African-American,Female,14,4,0
29,0,F,African-American,Male,0,1,0
54,0,F,Other,Male,0,27,1
37,1,M,African-American,Male,12,0,0
61,0,F,African-American,Male,25,1,0
29,0,M,African-American,Male,2,0,1
34,1,F,African-American,Female,5,9,1
28,0,M,African-American,Female,0,0,1
36,1,F,African-American,Female,1,6,0
20,1,F,African-American,Male,1,4,0
55,1,F,Other,Male,13,0,0
53,0,M,Other,Female,0,0,1
43,1,M,African-American,Male,3,1,1
30,0,F,African-American,Male,1,70,0
34,0,M,African-American,Male,1,2,1
21,0,M,African-American,Male,0,0,0
34,0,F,African-American,Male,10,1,0
30,1,F,African-American,Male,0,1,1
39,0,F,Other,Male,2,18,1
29,1,M,Other,Male,2,0,1
40,1,M,Other,Male,0,0,1
47,1,M,Other,Male,0,3,1
31,0,M,African-American,Male,7,1,1
29,0,F,African-American,Male,2,1,0
31,0,M,Other,Male,0,2,1
22,1,M,Other,Male,0,0,1
22,0,F,Other,Male,1,8,1
27,1,F,African-American,Female,3,1,0
28,1,F,African-American,Male,9,16,1
21,0,F,African-American,Male,0,0,1
29,1,M,African-American,Male,0,0,1
46,0,M,African-American,Male,0,1,1
46,0,F,Other,Male,0,0,1
40,0,M,Other,Male,0,1,1
24,1,F,Other,Male,5,18,0
34,0,M,Other,Male,1,0,1
44,0,F,Other,Female,1,0,1
30,0,F,African-American,Female,2,0,1
59,0,M,Other,Female,0,0,1
41,0,M,Other,Male,0,0,1
23,1,F,African-American,Male,0,0,1
40,0,F,African-American,Female,0,-1,1
21,0,M,Other,Female,0,0,0
26,0,M,Other,Male,3,0,0
55,0,M,Other,Female,0,0,1
30,0,M,African-American,Male,1,1,1
22,0,F,Other,Male,0,0,1
33,1,F,African-American,Male,3,3,0
30,1,M,African-American,Male,18,1,0
54,0,F,Other,Male,3,0,1
30,0,M,Other,Male,6,0,1
41,0,M,Other,Male,0,0,1
22,1,F,Other,Male,0,6,0
27,0,M,Other,Male,0,2,0
27,1,F,African-American,Male,3,0,1
26,1,F,African-American,Male,10,1,0
30,0,F,Other,Male,2,6,1
47,1,F,Other,Male,1,81,0
24,0,M,African-American,Female,6,310,0
27,0,M,Other,Male,0,0,1
40,0,M,Other,Female,0,0,1
23,0,M,Other,Female,2,0,0
22,1,M,African-American,Male,1,16,1
23,1,F,African-American,Male,0,5,0
49,0,F,African-American,Male,3,1,1
25,1,F,Other,Male,13,5,1
33,1,F,Other,Female,2,43,0
31,1,F,African-American,Male,1,-1,0
30,1,F,African-American,Male,3,0,1
40,0,F,Other,Male,0,0,1
26,0,M,Other,Female,3,0,1
29,1,M,African-American,Male,3,60,0
42,0,F,Other,Male,8,1,1
27,0,F,African-American,Male,2,0,1
22,0,F,African-American,Male,3,128,0
22,1,F,African-American,Male,0,71,1
27,1,M,African-American,Male,5,64,1
38,0,F,African-American,Male,4,-1,1
20,1,F,African-American,Male,0,1,0
52,1,F,Other,Male,2,4,0
39,0,F,Other,Male,0,1,1
42,0,M,Other,Male,0,4,1
54,0,M,African-American,Male,9,1,1
20,1,F,African-American,Male,1,1,0
32,1,F,African-American,Male,21,64,0
20,1,M,Other,Female,0,10,0
32,0,M,Other,Male,0,0,1
28,0,F,Other,Male,0,53,0
27,0,F,Other,Male,0,1,1
34,1,F,African-American,Male,12,1,0
22,0,F,African-American,Male,0,1,1
27,1,F,African-American,Male,9,1,0
39,0,M,African-American,Male,2,1,1
21,1,M,African-American,Male,0,1,1
27,0,M,Other,Male,0,1,1
34,1,F,Other,Female,12,3,0
24,0,F,Other,Male,0,1,0
44,0,M,Other,Female,1,4,0
29,1,F,African-American,Male,0,12,1
58,0,F,African-American,Male,6,144,0
47,0,M,Other,Male,0,-1,1
34,1,F,African-American,Male,10,2,0
36,0,F,African-American,Male,0,0,1
23,0,F,Other,Female,3,5,0
24,0,F,Other,Male,2,0,0
24,0,F,Other,Female,0,1,1
56,1,M,Other,Male,10,13,1
23,0,M,Other,Female,0,1,0
29,0,F,African-American,Male,2,27,1
49,0,F,Other,Male,0,0,1
35,1,F,African-American,Male,4,353,0
24,1,F,Other,Male,8,0,1
35,0,M,African-American,Male,1,0,1
25,1,M,Other,Male,1,0,0
27,0,M,African-American,Female,0,0,1
23,1,F,Other,Male,0,0,0
52,0,F,Other,Female,6,6,1
22,1,F,African-American,Male,1,1,1
23,1,M,Other,Male,0,1,1
48,0,F,Other,Male,1,2,1
28,0,M,Other,Male,9,0,1
25,1,F,African-American,Male,5,0,0
21,1,F,African-American,Male,1,1,0
49,0,M,Other,Male,0,0,1
42,0,F,African-American,Male,1,1,1
21,1,M,Other,Female,0,1,0
37,0,F,African-American,Male,8,14,0
51,1,M,Other,Male,1,1,1
20,1,M,Other,Male,0,0,0
35,1,M,African-American,Male,0,57,0
53,0,M,African-American,Male,1,0,1
22,1,F,African-American,Male,1,6,0
33,0,F,Other,Male,3,1,0
52,1,F,Other,Male,0,7,0
24,1,M,Other,Male,0,0,0
27,0,F,African-American,Male,1,2,1
27,1,F,Other,Male,1,14,0
21,1,F,African-American,Female,0,1,0
58,0,M,Other,Male,8,1,1
27,1,M,African-American,Male,5,0,1
43,0,M,African-American,Male,0,1,1
48,0,M,Other,Female,0,0,1
52,0,F,Other,Male,1,3,0
31,1,M,African-American,Male,13,0,0
26,1,F,African-American,Male,1,57,0
27,1,F,African-American,Male,5,4,0
49,0,F,African-American,Male,3,0,1
41,0,F,African-American,Male,8,1,1
32,0,M,Other,Male,0,1,1
25,1,F,Other,Male,24,0,0
49,0,M,Other,Male,2,1,1
26,1,F,African-American,Female,3,0,1
22,1,F,African-American,Male,1,4,0
61,1,M,African-American,Male,20,30,1
20,0,M,African-American,Female,0,0,0
54,0,F,African-American,Male,1,0,1
37,1,F,Other,Male,4,1,1
22,0,F,African-American,Male,0,0,1
23,0,F,African-American,Male,0,0,1
37,0,M,African-American,Male,12,52,0
43,0,M,Other,Female,0,-1,1
56,0,F,African-American,Male,16,0,0
22,1,F,African-American,Male,7,11,0
46,0,M,Other,Female,0,-1,1
22,1,F,African-American,Male,0,13,1
33,1,M,Other,Female,4,11,0
31,0,M,Other,Male,0,0,1
36,0,M,African-American,Female,1,-1,1
32,0,F,Other,Male,0,1,1
20,1,F,Other,Male,0,0,1
20,0,F,African-American,Male,0,3,1
39,0,F,Other,Female,3,1,1
24,0,F,Other,Male,0,1,1
22,1,M,African-American,Male,2,1,1
31,1,M,Other,Male,6,1,1
23,1,F,African-American,Male,0,0,1
23,1,M,Other,Male,1,0,0
52,0,M,African-American,Male,2,10,1
43,1,F,African-American,Male,0,0,1
28,1,M,African-American,Male,3,-1,1
32,1,F,African-American,Male,17,112,0
21,1,F,African-American,Male,7,10,0
43,0,M,African-American,Male,2,2,1
25,0,M,African-American,Female,2,0,1
59,1,F,Other,Male,17,23,0
38,1,F,Other,Male,1,0,1
34,1,M,Other,Female,0,2,0
43,0,F,African-American,Male,5,0,0
25,0,F,African-American,Male,0,0,1
37,0,F,Other,Male,2,28,1
29,0,F,African-American,Female,0,0,1
22,0,F,African-American,Female,0,0,0
34,0,F,African-American,Male,15,6,0
21,1,F,African-American,Male,1,1,1
32,1,M,African-American,Male,9,23,0
26,0,F,Other,Male,0,1,1
30,0,M,African-American,Male,4,5,0
39,0,F,Other,Male,2,8,1
23,0,F,African-American,Female,0,0,0
30,1,F,African-American,Male,10,0,0
38,0,M,Other,Male,1,126,0
20,1,F,African-American,Male,1,0,0
66,1,F,African-American,Male,5,0,1
56,1,M,Other,Male,0,-1,1
26,0,F,Other,Male,0,0,0
52,0,F,African-American,Female,1,0,1
39,1,F,African-American,Male,13,1,0
28,0,F,Other,Male,0,0,1
26,1,F,Other,Male,3,0,0
44,0,F,Other,Male,0,5,1
53,0,M,Other,Male,0,0,1
31,1,M,Other,Male,3,0,1
41,1,F,Other,Male,14,6,0
25,1,M,African-American,Male,0,4,1
44,0,F,African-American,Male,1,1,1
23,0,F,African-American,Male,3,1,0
45,0,F,Other,Male,2,7,1
55,0,F,Other,Female,2,2,1
34,0,F,African-American,Male,3,1,1
24,1,M,African-American,Male,1,2,0
30,1,F,African-American,Male,2,1,0
43,1,M,Other,Female,3,1,1
21,1,M,Other,Male,0,9,0
37,1,F,African-American,Male,9,1,0
35,1,F,African-American,Male,8,10,0
24,1,F,African-American,Male,5,0,1
24,1,F,African-American,Male,7,199,0
34,0,M,Other,Male,0,1,1
58,1,F,African-American,Male,10,1,1
36,1,M,African-American,Male,25,0,0
27,1,F,African-American,Male,4,1,0
24,1,F,African-American,Male,3,35,0
28,1,F,African-American,Male,1,0,1
21,1,F,Other,Male,5,1,0
34,0,F,African-American,Male,2,1,1
23,1,F,African-American,Male,5,1,0
27,0,F,African-American,Female,1,2,1
49,1,M,Other,Male,0,1,1
26,1,F,African-American,Male,6,18,0
56,0,F,Other,Male,0,1,1
24,1,F,African-American,Male,8,49,0
30,0,F,African-American,Male,1,0,1
29,0,F,Other,Male,2,2,1
22,0,F,African-American,Male,0,0,1
31,0,F,African-American,Male,1,13,1
57,0,F,Other,Male,6,1,1
25,1,F,African-American,Male,6,0,0
30,1,F,African-American,Male,2,0,0
30,0,M,African-American,Male,0,0,1
56,0,M,Other,Male,0,7,1
43,0,M,Other,Female,0,1,1
46,0,F,Other,Female,1,0,1
22,0,F,African-American,Male,0,0,0
20,1,F,African-American,Male,0,1,0
31,0,F,Other,Male,0,81,1
34,0,F,Other,Male,0,0,1
56,0,F,African-American,Male,24,6,0
24,0,F,Other,Male,0,0,1
29,1,F,Other,Male,7,0,0
43,0,M,Other,Male,1,1,1
26,0,M,African-American,Female,0,1,1
42,0,M,Other,Female,0,0,1
26,0,F,African-American,Female,4,2,1
57,1,M,Other,Male,0,-1,1
63,0,M,Other,Male,1,5,1
34,0,M,Other,Male,1,1,0
34,1,M,Other,Male,0,29,1
49,0,M,Other,Male,1,0,1
26,1,F,African-American,Female,1,2,1
41,1,M,Other,Female,9,0,1
39,0,F,Other,Male,6,0,0
27,1,F,African-American,Male,1,1,1
25,1,F,Other,Male,9,87,0
56,0,M,Other,Female,0,0,1
42,1,F,Other,Male,2,0,0
56,0,M,African-American,Male,3,14,1
36,1,M,African-American,Male,5,19,0
26,1,F,African-American,Male,3,0,1
24,0,M,Other,Male,1,1,1
58,1,F,Other,Male,1,0,1
26,1,F,African-American,Female,4,0,0
29,0,F,African-American,Male,0,0,1
28,0,F,African-American,Female,5,0,0
44,1,M,Other,Female,0,0,1
25,1,F,Other,Male,2,12,1
26,1,F,African-American,Male,20,43,0
27,1,F,African-American,Male,1,1,1
48,1,F,African-American,Male,10,4,0
25,1,M,Other,Male,7,3,0
21,0,F,African-American,Male,1,3,0
32,1,F,African-American,Male,8,2,0
20,0,F,African-American,Male,0,0,0
37,0,F,Other,Male,3,38,1
41,1,F,African-American,Male,12,0,0
20,0,M,Other,Male,0,-1,1
30,1,F,Other,Male,4,4,0
31,1,M,Other,Male,3,0,1
22,0,M,African-American,Male,0,0,0
39,0,F,Other,Male,3,0,1
60,0,F,African-American,Male,13,0,1
32,1,F,African-American,Male,16,0,0
74,0,M,Other,Male,0,1,1
51,0,F,African-American,Male,4,1,1
33,0,M,Other,Female,1,0,1
32,0,F,Other,Male,1,15,1
36,1,F,African-American,Male,14,2,0
55,0,M,Other,Male,27,1,0
26,1,F,African-American,Male,1,0,1
22,1,M,Other,Male,0,1,1
30,0,F,African-American,Male,0,2,1
54,0,F,Other,Male,6,0,1
45,1,F,African-American,Male,0,0,0
47,1,F,African-American,Male,4,0,1
45,0,M,Other,Female,0,0,1
47,0,M,African-American,Female,4,0,0
35,0,M,African-American,Male,2,0,0
38,1,F,Other,Male,2,47,1
26,0,M,African-American,Male,2,0,1
41,0,F,Other,Male,1,6,0
49,0,F,Other,Male,0,0,1
29,1,M,Other,Female,1,2,0
22,0,F,Other,Female,1,0,0
37,0,M,Other,Male,6,1,1
34,1,F,Other,Male,0,1,1
38,1,M,African-American,Male,17,1,1
21,0,F,African-American,Male,1,-1,1
23,1,M,African-American,Male,3,0,1
28,0,F,African-American,Male,2,0,1
30,1,M,Other,Male,4,0,0
26,1,F,Other,Male,2,19,1
32,0,M,African-American,Male,0,1,0
33,1,M,Other,Male,2,1,1
67,0,F,Other,Male,3,1,1
32,1,F,African-American,Male,5,0,1
31,0,M,African-American,Female,1,0,0
58,0,M,Other,Male,3,0,1
23,0,F,African-American,Male,0,2,0
25,1,M,African-American,Male,8,0,0
24,1,F,African-American,Male,1,75,0
27,0,M,African-American,Male,3,37,1
51,1,F,Other,Male,0,1,1
27,0,M,African-American,Female,0,1,1
30,0,M,African-American,Male,2,1,0
41,1,F,Other,Male,11,118,1
27,0,M,African-American,Male,0,2,1
23,1,F,African-American,Female,3,5,0
24,0,F,Other,Male,1,1,0
35,1,F,African-American,Male,5,1,0
27,1,F,African-American,Male,12,31,0
28,1,F,African-American,Male,11,2,0
20,1,F,African-American,Male,0,0,0
45,0,M,African-American,Female,9,75,0
24,1,F,Other,Male,0,0,0
58,1,M,Other,Male,2,0,1
31,1,F,African-American,Male,8,0,0
60,1,M,Other,Male,1,1,1
32,0,F,African-American,Male,0,1,1
52,0,F,African-American,Male,7,181,0
35,1,F,Other,Male,2,0,0
49,0,F,Other,Male,1,12,1
59,1,F,Other,Male,20,198,1
21,0,F,African-American,Male,1,8,0
20,1,F,African-American,Male,1,109,0
63,0,F,African-American,Male,6,24,1
19,1,M,Other,Male,0,2,0
28,0,F,Other,Male,1,1,0
23,0,M,Other,Male,0,1,0
61,0,M,Other,Female,0,0,1
41,0,M,Other,Male,2,1,1
28,1,M,Other,Male,1,0,1
21,0,F,Other,Male,1,0,0
24,1,F,African-American,Male,1,0,0
29,0,M,African-American,Male,2,1,0
37,0,F,African-American,Male,6,1,1
25,1,F,African-American,Male,5,1,0
35,0,F,African-American,Female,4,2,0
33,1,F,African-American,Male,2,-1,0
24,1,M,African-American,Male,0,1,0
20,1,F,Other,Male,2,31,0
56,0,M,African-American,Male,0,1,1
24,1,M,Other,Male,3,1,0
27,0,M,Other,Male,3,3,1
20,1,M,African-American,Male,0,4,0
29,0,M,African-American,Female,1,0,1
28,0,M,African-American,Male,0,5,1
23,1,F,Other,Female,5,0,0
55,0,M,Other,Male,1,0,1
46,1,F,African-American,Male,9,115,0
20,1,F,African-American,Male,0,0,0
28,1,M,African-American,Male,14,20,0
58,0,M,African-American,Male,0,1,1
28,0,M,Other,Male,2,1,1
19,1,F,African-American,Male,0,0,1
28,1,F,Other,Male,3,165,0
23,0,F,Other,Male,2,35,0
20,1,M,African-American,Male,1,1,1
37,0,F,Other,Male,0,0,0
21,1,F,African-American,Male,2,0,0
22,1,F,African-American,Male,3,8,1
26,1,F,African-American,Male,3,0,0
58,0,M,Other,Male,10,0,1
51,1,F,African-American,Male,0,1,1
42,1,F,African-American,Male,0,33,1
53,0,F,Other,Male,4,-1,1
25,1,M,Other,Male,0,2,0
30,1,F,African-American,Male,8,1,0
20,1,F,African-American,Male,0,0,0
37,0,F,African-American,Male,0,0,0
30,1,M,African-American,Male,4,1,1
22,1,M,African-American,Male,1,1,0
37,0,F,Other,Male,2,0,1
23,1,F,African-American,Male,3,1,0
29,0,F,Other,Female,0,47,1
29,0,F,African-American,Male,7,1,0
60,0,M,Other,Male,0,1,1
33,0,F,African-American,Male,4,-1,0
33,1,F,African-American,Female,0,29,0
53,0,F,African-American,Female,5,1,0
40,0,M,Other,Female,0,1,1
28,0,F,Other,Female,0,0,1
21,1,M,Other,Female,0,2,0
70,0,M,African-American,Male,0,1,1
21,1,F,Other,Male,2,2,0
44,0,M,Other,Female,0,1,1
33,0,M,African-American,Female,0,7,0
21,0,F,African-American,Male,0,3,0
23,0,F,African-American,Male,1,1,1
51,0,M,Other,Female,2,0,1
33,0,F,Other,Female,0,0,1
22,0,F,African-American,Male,0,11,0
53,0,F,Other,Male,1,11,1
30,1,M,African-American,Male,8,1,0
26,0,F,African-American,Male,2,0,1
41,1,F,Other,Male,1,57,1
33,0,M,Other,Male,3,0,1
37,1,F,Other,Male,8,0,1
37,0,F,African-American,Male,4,1,1
37,0,F,Other,Male,13,1,0
34,0,F,African-American,Male,0,2,1
30,0,F,African-American,Male,3,0,1
46,0,F,Other,Male,1,0,1
28,0,F,Other,Male,2,0,0
29,0,M,African-American,Male,0,0,1
23,1,F,African-American,Male,0,14,0
26,0,M,Other,Female,1,0,0
26,0,M,African-American,Female,0,-1,1
59,0,M,African-American,Male,2,0,1
20,1,M,African-American,Male,0,1,1
23,0,F,Other,Male,2,0,0
48,0,F,African-American,Female,1,0,1
30,0,F,Other,Male,0,5,1
22,0,F,Other,Male,3,2,1
24,0,F,Other,Male,0,6,1
44,0,M,Other,Male,0,1,1
29,1,F,African-American,Male,12,12,0
54,0,F,African-American,Male,0,1,1
24,1,F,African-American,Male,0,0,0
31,0,M,Other,Female,2,117,0
30,0,F,Other,Male,4,3,1
55,1,F,Other,Male,1,33,1
35,0,M,African-American,Male,3,11,1
58,0,F,Other,Female,0,1,1
32,0,M,African-American,Male,0,0,0
24,1,F,African-American,Male,3,0,0
30,1,F,African-American,Male,14,64,0
23,0,M,Other,Female,1,0,1
29,0,F,Other,Male,3,177,0
49,0,M,Other,Male,0,0,1
35,0,M,Other,Female,1,28,0
33,0,F,Other,Male,3,0,0
30,0,F,Other,Male,0,0,1
53,0,F,African-American,Female,0,1,0
25,1,F,African-American,Male,10,7,0
26,1,F,African-American,Male,1,4,0
24,1,F,African-American,Male,17,130,0
36,0,F,Other,Male,6,0,1
55,0,F,Other,Male,1,0,1
33,1,F,African-American,Male,16,0,0
21,1,F,Other,Male,0,0,0
33,0,M,Other,Female,0,0,1
32,0,F,Other,Male,2,0,1
20,0,F,Other,Male,0,0,1
30,0,F,Other,Male,1,17,1
45,0,M,African-American,Male,3,1,1
33,1,M,African-American,Male,3,114,0
21,0,F,Other,Male,1,11,1
22,1,M,Other,Male,0,0,1
31,0,F,African-American,Male,5,6,0
22,1,F,African-American,Male,3,7,0
25,1,F,Other,Male,4,33,0
35,0,F,African-American,Male,7,1,0
56,0,M,Other,Male,0,1,1
21,0,F,African-American,Male,0,1,0
36,1,F,Other,Male,26,117,0
61,0,M,African-American,Male,14,1,1
24,1,F,Other,Male,3,39,0
28,0,F,African-American,Male,6,0,1
24,1,M,African-American,Male,1,1,1
30,0,F,African-American,Female,3,0,1
21,1,F,African-American,Male,0,0,0
25,0,M,Other,Female,0,0,1
50,1,F,Other,Female,2,0,1
26,0,M,African-American,Male,2,0,0
23,0,F,Other,Male,0,0,1
23,0,F,African-American,Male,1,35,0
53,0,F,African-American,Male,5,297,1
21,0,F,African-American,Male,1,108,0
43,1,F,Other,Male,0,1,1
21,0,F,African-American,Male,0,1,0
22,1,M,African-American,Male,0,0,1
